Date,sp1,nav
2003-01-14,-0.06469014810932094,-0.06469014810932094
2003-01-15,0.026896742573100596,0.026896742573100596
2003-01-16,0.05309311651910775,0.05309311651910775
2003-01-17,0.18577407258898404,0.18577407258898404
2003-01-21,0.14327022733525752,0.14327022733525752
2003-01-22,0.09187745326592278,0.09187745326592278
2003-01-23,0.13890179906179867,0.13890179906179867
2003-01-24,0.2012083523581012,0.2012083523581012
2003-01-27,0.038682449787941664,0.038682449787941664
2003-01-28,-0.1411826610655993,-0.1411826610655993
2003-01-29,-0.07987167302887599,-0.07987167302887599
2003-01-30,0.19189783947656025,0.19189783947656025
2003-01-31,0.4523986430435514,0.4523986430435514
2003-02-03,0.8254221565577708,0.8254221565577708
2003-02-04,0.8654421565577621,0.8654421565577621
2003-02-05,0.48331924800965,0.48331924800965
2003-02-06,0.4509613433464139,0.4509613433464139
2003-02-07,0.8853615427684076,0.8853615427684076
2003-02-10,0.5745775536473801,0.5745775536473801
2003-02-11,0.5303512210493793,0.5303512210493793
2003-02-12,0.35743184885773616,0.35743184885773616
2003-02-13,0.2729291168138417,0.2729291168138417
2003-02-14,0.348742820594687,0.348742820594687
2003-02-18,0.2570497331479231,0.2570497331479231
2003-02-19,0.4984435340199056,0.4984435340199056
2003-02-20,0.5013249425530049,0.5013249425530049
2003-02-21,0.6737263587502937,0.6737263587502937
2003-02-24,0.7832807437636973,0.7832807437636973
2003-02-25,0.7306952210493733,0.7306952210493733
2003-02-26,0.4250499358976185,0.4250499358976185
2003-02-27,0.5698415437771942,0.5698415437771942
2003-02-28,0.6957679433359942,0.6957679433359942
2003-03-03,0.7080025626216724,0.7080025626216724
2003-03-04,0.5736491012970575,0.5736491012970575
2003-03-05,0.24232572413624354,0.24232572413624354
2003-03-06,0.48594353499131415,0.48594353499131415
